FECHA,O3,NOX,RecreativosTiendas,AbarrotesFarmacias,Parques,EstacionesTransito,Trabajo,Residencial
19/09/20,,,-25,-2,-24,-25,-10,4
20/09/20,,,-29,-10,-27,-26,-4,4
21/09/20,,,-30,-14,-39,-30,-25,10
22/09/20,,,-29,-12,-37,-32,-31,10
23/09/20,,,-28,-11,-36,-34,-30,11
24/09/20,,,-29,-10,-36,-34,-30,11
25/09/20,,,-28,-7,-37,-32,-26,10
26/09/20,0.0532,0.017555556,-29,-4,-33,-27,-8,4
27/09/20,0.032695652,0.020714286,-32,-12,-34,-28,-4,4
28/09/20,0.024434783,0.032,-31,-11,-41,-36,-25,10
29/09/20,0.021217391,0.032318182,-28,-9,-36,-31,-29,10
30/09/20,0.025173913,0.040590909,-24,-3,-35,-29,-29,9
01/10/20,0.029695652,0.047565217,-25,-2,-33,-27,-28,9
02/10/20,0.022958333,0.042434783,-24,2,-32,-23,-24,9
03/10/20,0.029375,0.028565217,-25,2,-29,-18,-8,3
04/10/20,0.027913043,0.027608696,-27,-6,-28,-21,-3,3
05/10/20,0.029958333,0.034652174,-28,-6,-35,-23,-23,8
06/10/20,0.023166667,0.054695652,-28,-7,-34,-25,-29,9
07/10/20,0.029521739,0.046173913,-28,-8,-34,-28,-28,10
08/10/20,0.052772727,0.044954545,-27,-7,-32,-27,-28,10
09/10/20,0.049333333,0.0264,-27,-4,-32,-25,-24,10
10/10/20,0.041375,0.017380952,-28,-3,-29,-18,-6,4
11/10/20,0.043625,0.011736842,-31,-11,-30,-23,-2,4
12/10/20,0.031,0.026454545,-31,-11,-36,-27,-30,11
13/10/20,0.026727273,0.029913043,-28,-8,-34,-23,-28,10
14/10/20,0.037625,0.023521739,-25,-6,-34,-22,-27,10
15/10/20,0.038708333,0.020238095,-24,-2,-35,-20,-28,10
16/10/20,0.022217391,0.044956522,-23,3,-32,-19,-23,9
17/10/20,0.027208333,0.027181818,-24,2,-28,-13,-6,3
18/10/20,0.033478261,0.023368421,-27,-6,-28,-16,-2,3
19/10/20,0.032227273,0.027956522,-29,-7,-36,-21,-22,9
20/10/20,0.035636364,0.030772727,-27,-7,-33,-21,-28,10
21/10/20,0.039590909,0.034409091,-26,-6,-33,-21,-27,10
22/10/20,0.038958333,0.0219,-27,-5,-33,-20,-27,11
23/10/20,0.036125,0.017045455,-25,0,-29,-19,-23,10
24/10/20,0.028833333,0.029913043,-26,0,-26,-14,-5,4
25/10/20,0.036625,0.021181818,-27,-5,-26,-16,0,3
26/10/20,0.034708333,0.017409091,-29,-7,-34,-19,-21,9
27/10/20,0.030083333,0.0165,-28,-7,-32,-20,-27,10
28/10/20,0.028958333,0.017190476,-26,-5,-34,-21,-26,10
29/10/20,0.034375,0.029130435,-24,-1,-32,-20,-26,10
30/10/20,0.026291667,0.031043478,-28,7,-35,-19,-22,9
31/10/20,0.036347826,0.035,-60,-21,-52,-51,-32,14
01/11/20,0.031583333,0.019,-64,-35,-57,-52,-25,11
02/11/20,0.027625,0.024347826,-29,-1,-39,-24,-28,11
03/11/20,0.032458333,0.025304348,-29,-3,-38,-20,-27,10
04/11/20,0.019875,0.044409091,-29,-5,-40,-24,-26,11
05/11/20,0.016916667,0.049956522,-29,-4,-38,-24,-27,11
06/11/20,0.023956522,0.047045455,-28,3,-38,-21,-23,10
07/11/20,0.038043478,0.043136364,-59,-24,-51,-46,-30,13
08/11/20,0.024458333,0.023478261,-62,-36,-55,-46,-22,11
09/11/20,0.02426087,0.034086957,-25,-2,-39,-18,-20,9
10/11/20,0.017363636,0.043956522,-25,-4,-38,-19,-27,10
11/11/20,0.026785714,0.057,-25,-5,-38,-19,-26,10
12/11/20,0.029166667,0.051681818,-25,-3,-37,-19,-26,11
13/11/20,0.0348,0.04573913,-19,7,-34,-14,-21,8
14/11/20,0.031478261,0.033318182,-22,5,-33,-10,-5,3
15/11/20,0.036833333,0.029391304,-23,-3,-31,-18,2,2
16/11/20,0.02375,0.024083333,-24,-3,-35,-27,-55,14
17/11/20,0.018083333,0.031708333,-22,-2,-36,-13,-26,8
18/11/20,0.022291667,0.028333333,-21,-2,-36,-14,-25,9
19/11/20,0.020090909,0.045625,-21,0,-34,-16,-26,9
20/11/20,0.025166667,0.053208333,-20,4,-34,-15,-21,9
21/11/20,0.018947368,0.046166667,-25,0,-31,-12,-3,4
22/11/20,0.017272727,0.037916667,-27,-6,-32,-15,3,3
23/11/20,0.028391304,0.035958333,-27,-6,-36,-16,-19,9
24/11/20,0.030521739,0.05,-26,-6,-35,-16,-26,9
25/11/20,0.028347826,0.03875,-24,-5,-36,-17,-25,10
26/11/20,0.027173913,0.048791667,-24,-3,-33,-18,-25,10
27/11/20,0.031142857,0.0475,-22,2,-32,-16,-21,9
28/11/20,0.026157895,0.049083333,-23,3,-29,-10,-2,3
29/11/20,0.0238,0.041833333,-24,-3,-28,-11,3,3
30/11/20,0.0235,0.043458333,-23,0,-34,-14,-18,8
01/12/20,0.004083333,0.028375,-21,1,-32,-12,-25,9
02/12/20,0.012695652,0.014272727,-19,0,-33,-14,-23,9
03/12/20,0.016434783,0.034833333,-20,1,-32,-15,-24,9
04/12/20,0.01125,0.021625,-21,3,-35,-14,-20,9
05/12/20,0.0133,0.023083333,-20,3,-30,-5,-1,3
06/12/20,0.007444444,0.035416667,-21,-2,-30,-8,5,3
07/12/20,0.010863636,0.032958333,-22,-2,-37,-13,-18,8
08/12/20,0.018944444,0.039875,-21,-3,-33,-13,-23,9
09/12/20,0.02552381,0.046,-18,-1,-33,-14,-23,9
10/12/20,0.02373913,0.025227273,-18,1,-31,-13,-23,9
11/12/20,0.01825,0.038166667,-17,7,-28,-11,-19,7
12/12/20,0.018333333,0.041458333,-18,7,-22,-2,-2,2
13/12/20,0.0155,0.02175,-16,1,-25,-1,7,2
14/12/20,0.017894737,0.034608696,-17,3,-30,-8,-17,7
15/12/20,0.013714286,0.034,-12,7,-27,-5,-23,7
16/12/20,0.014285714,0.047041667,-9,10,-27,-5,-22,7
17/12/20,0.021842105,0.040375,-10,12,-25,-6,-23,7
18/12/20,0.019428571,0.042416667,-12,14,-26,-4,-19,6
19/12/20,0.018545455,0.043125,-14,14,-23,10,1,1
20/12/20,0.024818182,0.043958333,-10,10,-21,12,12,1
21/12/20,0.022736842,0.050125,-7,15,-22,2,-20,5
22/12/20,0.0189,0.049416667,-5,20,-22,3,-28,6
23/12/20,0.0145,0.063791667,0,33,-19,9,-28,5
24/12/20,0.019217391,0.057041667,-17,35,-26,-13,-40,6
25/12/20,0.028791667,0.024958333,-65,-34,-46,-56,-74,17
26/12/20,0.023318182,0.038521739,-45,-11,-36,-27,-29,11
27/12/20,0.023791667,0.034173913,-43,-16,-33,-16,-4,7
28/12/20,0.028227273,0.042708333,-23,-1,-31,-16,-30,10
29/12/20,0.025238095,0.043375,-22,1,-29,-16,-36,11
30/12/20,0.020695652,0.037130435,-18,11,-30,-11,-35,11
31/12/20,0.026375,0.017608696,-25,24,-31,-22,-42,9
